Brand;Model;Car_Info;User_Desc;Price;Price_Eval;Kilometer;Gear_Type;YearMonth;Fuel_Type;Horsepower;Consumption;CO2_Emission;Marketplace
Audi;A4;Avant 1.8 TFSI Ambiente, Standheiz., Navi;Sommerreifen, Alufelgen, Fahrerairbag, Bluetooth, Armlehne, Pannenkit, Einparkhilfe Sensoren hinten, Elektronische Parkbremse;€ 6.450;Sehr guter Preis;123.000 km;Schaltgetriebe;07/2011;Benzin;88 kW (120 PS);7,2 l/100 km;171 g/km;Autoscout24.de
Renault;Scenic;III 1.5 DCi BOSE Edition Automatik Navi;Über 400 Dacia Neuwagen im Bestand/3 Jahre Garantie;€ 4.490;Guter Preis;238.600 km;Automatik;10/2013;Diesel;81 kW (110 PS);5,0 l/100 km;130 g/km;Autoscout24.de
Audi;A6;Lim. 2.8 FSI V6*Automatik Navi*45 Tkm*1Hand*;Sommerreifen, Start/Stop-Automatik, Multifunktionslenkrad, Navigationssystem, Einparkhilfe Sensoren vorne, Einparkhilfe selbstlenkendes System, Seitenairbag, CD;€ 14.500;Sehr guter Preis;45.382 km;Automatik;08/2011;Benzin;150 kW (204 PS);7,7 l/100 km;182 g/km;Autoscout24.de
Opel;Insignia;A ST 2.0D INNOV. NAVI/LED/KAMERA/SHZ;Einparkhilfe Kamera, Getönte Scheiben, Android Auto, Sprachsteuerung, Einparkhilfe Sensoren vorne, Multifunktionslenkrad, Sommerreifen, Sitzheizung;€ 6.700;nan;140.990 km;Automatik;05/2016;Diesel;125 kW (170 PS);5,5 l/100 km;145 g/km;Autoscout24.de
Opel;Insignia;1.6 Lim. Selection 2.HAND*;Radio, teilb. Rücksitzbank, Elektrische Sitze, Tagfahrlicht, Sommerreifen, Klimaanlage, Wegfahrsperre, Elektrische Seitenspiegel;€ 4.500;Guter Preis;167.364 km;Schaltgetriebe;07/2010;Benzin;85 kW (116 PS);7,6 l/100 km;174 g/km;Autoscout24.de
Opel;Insignia;A Lim. 150 Jahre Opel/NAVI/RADIO/KLIMA;Fahrerairbag, Einparkhilfe Sensoren vorne, Beifahrerairbag, Navigationssystem, Freisprecheinrichtung, Sprachsteuerung, Alufelgen, Einparkhilfe Sensoren hinten;€ 8.900;Sehr guter Preis;66.778 km;Schaltgetriebe;03/2013;Diesel;96 kW (131 PS);5,8 l/100 km;154 g/km;Autoscout24.de
Opel;Corsa;E 1.2 Klima;Elektrische Seitenspiegel, Klimaanlage, Fahrerairbag, Beifahrerairbag, Radio, Seitenairbag, Elektr. Fensterheber, Zentralverriegelung;€ 4.290;Sehr guter Preis;115.200 km;Schaltgetriebe;05/2016;Benzin;51 kW (69 PS);5,4 l/100 km;128 g/km;Autoscout24.de
Volkswagen;Golf;VI  2.0 GTD/KLIMAAUTO/NAVI/LED/XENON/1 HAND;Bi-Xenon Scheinwerfer, Navigationssystem, Sportfahrwerk, Radio, Einparkhilfe Sensoren vorne, Sommerreifen, Bluetooth, Bordcomputer;€ 6.980;Fairer Preis;242.846 km;Schaltgetriebe;12/2011;Diesel;125 kW (170 PS);5,1 l/100 km;134 g/km;Autoscout24.de
Renault;Megane;Coupé Dynamique TCe 130 GEWERBE/EXPORT;Sommerreifen, Alufelgen, Klimaanlage, Fahrerairbag, Navigationssystem, Bi-Xenon Scheinwerfer, Wegfahrsperre, Sitzheizung;€ 4.500;Sehr guter Preis;115.000 km;Schaltgetriebe;04/2011;Benzin;96 kW (131 PS);6,3 l/100 km;nan;Autoscout24.de
BMW;X6;xDrive40d|LED|HUD|HiFi|SHZ|PDC|Kamera|Navi|BT;Reifendruckkontrollsystem, Einparkhilfe Kamera, Fahrerairbag, Allrad, Soundsystem, LED-Scheinwerfer, Sportfahrwerk, Head-up display;€ 15.990;Guter Preis;281.500 km;Automatik;12/2012;Diesel;225 kW (306 PS);7,5 l/100 km;199 g/km;Autoscout24.de
BMW;116;Baureihe 1 Lim. 116i;Beifahrerairbag, Elektr. Fensterheber, Fahrerairbag, Alufelgen, Isofix, ESP, Zentralverriegelung, CD;€ 4.690;Fairer Preis;179.000 km;Schaltgetriebe;05/2010;Benzin;90 kW (122 PS);6,1 l/100 km;143 g/km;Autoscout24.de
Volkswagen;Tiguan;Trend & Fun BMT 2-Z-Klima/PDC/2.Hand;Anhängerkupplung, Beifahrerairbag, Gepäckraumabtrennung, Alufelgen, CD, Sportsitze, Fahrerairbag, Start/Stop-Automatik;€ 8.750;Guter Preis;94.000 km;Schaltgetriebe;08/2010;Benzin;110 kW (150 PS);nan;nan;Autoscout24.de
Volkswagen;Polo;V CrossPolo Sitzheizung Sportsitze;Dachreling, Radio, Klimaanlage, Fahrerairbag, Winterpaket, Lederlenkrad, Isofix, Gepäckraumabtrennung;€ 4.490;Guter Preis;198.421 km;Schaltgetriebe;04/2012;Benzin;51 kW (69 PS);5,7 l/100 km;132 g/km;Autoscout24.de
Dacia;Duster;1.6 16V 105 4x2;Klimaanlage, Isofix, Pannenkit, Nebelscheinwerfer, Bordcomputer, ABS, Beifahrerairbag;€ 6.200;Sehr guter Preis;94.800 km;Schaltgetriebe;04/2013;Benzin;77 kW (105 PS);7,1 l/100 km;nan;Autoscout24.de
