Brand,Model,Kilometers,BuildYear,Transmission,Fuel,Power,l/Km,Emission,CurrentPrice
Mercedes-Benz,CLA 220 Shooting Brake,96.000 km,10/2017,Automatik,Diesel,130 kW (177 PS),7l/100km,108g CO2/km (komb)*,23.455
Dacia,Lodgy,69.595 km,07/2017,Manuell,Benzin,85 kW (116 PS),8l/100km,185g CO2/km (komb)*,12.948
Volkswagen,T-Roc,96.418 km,11/2017,Automatik,Diesel,110 kW (150 PS),1l/100km,133g CO2/km (komb)*,24.948
Dacia,Duster,38.342 km,07/2017,Manuell,Benzin,92 kW (125 PS),8l/100km,185g CO2/km (komb)*,14.948
Renault,Megane,32.890 km,11/2017,Manuell,Benzin,97 kW (132 PS),8l/100km,120g CO2/km (komb)*,14.948
Dacia,Dokker,106.490 km,07/2017,Manuell,Benzin,85 kW (116 PS),8l/100km,130g CO2/km (komb)*,13.348
Mazda,2,16.572 km,12/2017,Manuell,Benzin,66 kW (90 PS),5l/100km,105g CO2/km (komb)*,16.548
Volkswagen,Passat,78.090 km,11/2017,Automatik,Benzin,162 kW (220 PS),8l/100km,148g CO2/km (komb)*,26.448
Nissan,Micra,44.800 km,09/2017,Manuell,Benzin,52 kW (71 PS),6l/100km,107g CO2/km (komb)*,11.548
Renault,Clio,117.135 km,08/2017,Manuell,Benzin,87 kW (118 PS),4l/100km,120g CO2/km (komb)*,11.048
Seat,Leon,75.073 km,11/2017,Manuell,Benzin,221 kW (301 PS),9l/100km,158g CO2/km (komb)*,21.248
Seat,Ibiza,57.348 km,08/2017,Manuell,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,12.549
Renault,Grand Scenic,81.000 km,12/2017,Manuell,Benzin,97 kW (132 PS),1l/100km,136g CO2/km (komb)*,15.048
Audi,TT,54.590 km,05/2017,Automatik,Benzin,132 kW (180 PS),0l/100km,0g CO2/km (WLTP,30.549
Volkswagen,Golf,58.374 km,10/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,17.949
Mercedes-Benz,SONSTIGE,148.484 km,04/2017,Automatik,Diesel,130 kW (177 PS),7l/100km,186g CO2/km (komb)*,36.049
Citroen,C1,118.730 km,05/2017,Manuell,Benzin,51 kW (69 PS),8l/100km,185g CO2/km (komb)*,7.948
Volkswagen,T6 SONSTIGE,145.400 km,04/2017,Manuell,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,18.349
