brand,model,car_info,user_text,price,price_evaluation,kilometer,gear,date,fuel,power,consumption,co2
Land,Rover Range Rover,P530 SV 23 Zoll LM Black/AHK,,159987,Ohne Bewertung,57226,,07/2023,Benzin,530,,
Mercedes-Benz,GLA 200,| Autom. | Memory| Navi| 18Zoll| Garantie,,16999,Ohne Bewertung,104343,,02/2015,Benzin,156,,
Mercedes-Benz,GLA 45 AMG,4Matic Edition 1 *Automatik*Navi*,,27555,Ohne Bewertung,79992,,05/2015,Benzin,360,,
Audi,e-tron,"50 Quattro AIR LEATHER MEM HEAT CAM 19""",,27750,Sehr guter Preis,84994,,01/2021,Elektro,313,,
Volkswagen,Tiguan,1.4 TSI Trend & Fun BlueMotion 6 Gang,,9499,Guter Preis,179000,,02/2014,Benzin,122,,
Opel,Mokka,Irmscher 1.2T AT NAVI Matrix Licht Winter-,,29990,Sehr guter Preis,10,,08/2023,,131,,
Volkswagen,Tiguan,1.4 TSI Comfortline LED Navi ACC Keyless,,19490,Guter Preis,96219,,12/2017,Benzin,150,,
Volkswagen,Tiguan,Comfortline Tiguan Comfortline BlueMotion,,21490,Erhöhter Preis,74730,,05/2017,Benzin,150,,
Mercedes-Benz,GLA 180,NAVI*CAM*XENON*PANO*SHZ*PDC*LEDER*I.HAND,,17490,Guter Preis,109000,,12/2015,Benzin,122,,
Audi,Q3,quattro NAVI LED PANO RFK Sitzh. TEMPOMAT Kli,,19440,Fairer Preis,108500,,11/2016,Benzin,179,,
Volkswagen,T-Roc,Sport 1.5 l TSI DSG+NAVI+LED+ACC+StHz,,19385,Fairer Preis,107000,,11/2018,Benzin,150,,
BMW,X1,sDrive18i Bi-Xenon Sitzheizung PDC Bluetooth,,13990,Ohne Bewertung,74434,,10/2013,Benzin,150,,
Volkswagen,Tiguan,4Motion DSG Navi Standheizung PDC vo.+hi.,,21739,Fairer Preis,92300,,12/2017,Benzin,179,,
BMW,X1,20 i sDrive Garantie*Leder*Navi*Bi-Xenon*,,13990,Ohne Bewertung,124492,,03/2014,Benzin,184,,
