;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;log_cleaned_price;log_price_per_km;log_CO2_Emission;log_CO2_per_year;car_age
0;0;Citroen;C1;2011-12-01;2499.0;117200.0;Schaltgetriebe;Benzin;4.6;109.0;68.0;0.02;8.142;1506.88;2017.31;True;Autoscout24.de;7.824046010856292;0.0198026272961797;4.700480365792417;7.610015806558616;13.095890410958905
1;1;Hyundai;i10;2011-06-01;2799.0;92366.0;Schaltgetriebe;Benzin;5.0;119.0;67.0;0.03;8.85;1637.91;2202.39;True;Autoscout24.de;7.937374696163295;0.0295588022415444;4.787491742782046;7.697752362455074;13.597260273972603
2;2;Volkswagen;Polo;2012-10-01;3990.0;207000.0;Schaltgetriebe;Diesel;3.8;99.0;75.0;0.02;6.27;1160.42;1832.24;True;Autoscout24.de;8.291797105048733;0.0198026272961797;4.605170185988092;7.513840172165632;12.26027397260274
3;3;BMW;320;2012-09-01;9490.0;248247.0;Automatik;Diesel;4.7;125.0;184.0;0.04;7.755;1435.25;2313.43;True;Autoscout24.de;9.158099260130491;0.0392207131532812;4.836281906951478;7.7469187159007635;12.342465753424657
4;4;BMW;116;2010-03-01;4700.0;107969.0;Schaltgetriebe;Benzin;6.1;143.0;122.0;0.04;10.797;1998.25;2646.57;True;Autoscout24.de;8.45553053102413;0.0392207131532812;4.969813299576001;7.881397517163801;14.849315068493151
5;5;Mercedes-Benz;E 220;2012-03-01;7990.0;222682.0;Automatik;Diesel;5.8;154.0;170.0;0.04;9.57;1771.16;2850.15;True;Autoscout24.de;8.986071187374463;0.0392207131532812;5.043425116919247;7.9554777006468544;12.846575342465753
6;6;Audi;A6;2013-03-01;9899.0;214047.0;Automatik;Diesel;5.0;132.0;177.0;0.05;8.25;1526.87;2442.98;True;Autoscout24.de;9.20029003612268;0.048790164169432;4.890349128221754;7.801383136951947;11.846575342465753
7;7;Opel;Insignia;2010-01-01;3999.0;162000.0;Schaltgetriebe;Benzin;7.9;187.0;140.0;0.02;13.983;2587.9;3460.89;True;Autoscout24.de;8.294049640102028;0.0198026272961797;5.236441962829949;8.149569961690059;15.01095890410959
8;8;BMW;325;2014-04-01;13990.0;170000.0;Automatik;Diesel;5.1;135.0;218.0;0.08;8.415;1557.4;2498.51;True;Autoscout24.de;9.546169544733283;0.0769610411361283;4.912654885736052;7.823849991645782;10.761643835616438
9;9;MINI;Cooper;2012-01-01;4500.0;126792.0;Schaltgetriebe;Benzin;6.06859116367296;;122.0;0.04;;;;True;Autoscout24.de;8.412054873292933;0.0392207131532812;;;13.01095890410959
