Brand,Model,YearMonth,cleaned_Price,Price_Eval,Kilometer,Gear_Type,Fuel_Type,Consumption,CO2_g_km,Power_PS,source
Mercedes-Benz,CLA 220 Shooting Brake,2017.0,23.455,,96000.0,Automatik,Diesel,7.0,108.0,177.0,Auto.de
Dacia,Lodgy,2017.0,12.948,,69595.0,Schaltgetriebe,Benzin,8.0,185.0,116.0,Auto.de
Volkswagen,T-Roc,2017.0,24.948,,96418.0,Automatik,Diesel,1.0,133.0,150.0,Auto.de
Dacia,Duster,2017.0,14.948,,38342.0,Schaltgetriebe,Benzin,8.0,185.0,125.0,Auto.de
Renault,Megane,2017.0,14.948,,32890.0,Schaltgetriebe,Benzin,8.0,120.0,132.0,Auto.de
Dacia,Dokker,2017.0,13.348,,106490.0,Schaltgetriebe,Benzin,8.0,130.0,116.0,Auto.de
Mazda,2,2017.0,16.548,,16572.0,Schaltgetriebe,Benzin,5.0,105.0,90.0,Auto.de
Volkswagen,Passat,2017.0,26.448,,78090.0,Automatik,Benzin,8.0,148.0,220.0,Auto.de
Nissan,Micra,2017.0,11.548,,44800.0,Schaltgetriebe,Benzin,6.0,107.0,71.0,Auto.de
Renault,Clio,2017.0,11.048,,117135.0,Schaltgetriebe,Benzin,4.0,120.0,118.0,Auto.de
Seat,Leon,2017.0,21.248,,75073.0,Schaltgetriebe,Benzin,9.0,158.0,301.0,Auto.de
Seat,Ibiza,2017.0,12.549,,57348.0,Schaltgetriebe,Benzin,8.0,185.0,95.0,Auto.de
Renault,Grand Scenic,2017.0,15.048,,81000.0,Schaltgetriebe,Benzin,1.0,136.0,132.0,Auto.de
Audi,TT,2017.0,30.549,,54590.0,Automatik,Benzin,0.0,0.0,180.0,Auto.de
Volkswagen,Golf,2017.0,17.949,,58374.0,Schaltgetriebe,Benzin,8.0,185.0,150.0,Auto.de
Mercedes-Benz,SONSTIGE,2017.0,36.049,,148484.0,Automatik,Diesel,7.0,186.0,177.0,Auto.de
Citroen,C1,2017.0,7.948,,118730.0,Schaltgetriebe,Benzin,8.0,185.0,69.0,Auto.de
Volkswagen,T6 SONSTIGE,2017.0,18.349,,145400.0,Schaltgetriebe,Diesel,7.0,186.0,102.0,Auto.de
Opel,Adam,2017.0,13.448,,51540.0,Schaltgetriebe,Benzin,8.0,185.0,116.0,Auto.de
Renault,Kadjar,2017.0,15.948,,87914.0,Automatik,Benzin,8.0,132.0,131.0,Auto.de
Mazda,CX-3,2017.0,16.049,,111000.0,Schaltgetriebe,Benzin,8.0,185.0,120.0,Auto.de
Volkswagen,Golf,2017.0,21.049,,40552.0,Automatik,Benzin,8.0,185.0,150.0,Auto.de
Mini,Cooper S,2017.0,16.949,,89799.0,Schaltgetriebe,Benzin,8.0,185.0,192.0,Auto.de
Hyundai,i30,2017.0,13.049,,87550.0,Schaltgetriebe,Benzin,8.0,185.0,101.0,Auto.de
Volkswagen,Passat Variant,2017.0,24.349,,114000.0,Automatik,Diesel,7.0,186.0,239.0,Auto.de
Hyundai,i10,2017.0,8.949,,83264.0,Schaltgetriebe,Benzin,8.0,185.0,67.0,Auto.de
Renault,Master,2017.0,23.849,,147800.0,Schaltgetriebe,Diesel,7.0,186.0,131.0,Auto.de
Peugeot,3008,2017.0,18.048,,59000.0,Automatik,Benzin,8.0,185.0,131.0,Auto.de
Renault,Trafic,2017.0,21.349,,135300.0,Schaltgetriebe,Diesel,7.0,186.0,121.0,Auto.de
Volkswagen,Golf,2017.0,18.49,,74500.0,Automatik,Benzin,1.0,110.0,110.0,Auto.de
Renault,Master,2017.0,28.949,,123000.0,Schaltgetriebe,Diesel,0.0,0.0,125.0,Auto.de
Opel,Movano,2017.0,30.149,,108300.0,Schaltgetriebe,Diesel,0.0,0.0,131.0,Auto.de
Opel,Corsa,2017.0,14.549,,63127.0,Automatik,Benzin,9.0,137.0,90.0,Auto.de
Jeep,Renegade,2017.0,16.949,,96313.0,Schaltgetriebe,Diesel,1.0,154.0,140.0,Auto.de
Suzuki,Baleno,2017.0,13.349,,92065.0,Automatik,Benzin,7.0,0.0,112.0,Auto.de
Ford,B-Max,2017.0,13.549,,112095.0,Automatik,Benzin,4.0,149.0,105.0,Auto.de
Mazda,3,2017.0,16.049,,99182.0,Automatik,Benzin,6.0,129.0,120.0,Auto.de
Peugeot,2008,2017.0,11.549,,76850.0,Schaltgetriebe,Diesel,5.0,90.0,99.0,Auto.de
Skoda,Rapid,2017.0,15.049,,104000.0,Automatik,Benzin,8.0,114.0,125.0,Auto.de
Mazda,CX-3,2017.0,16.749,,55600.0,Schaltgetriebe,Benzin,9.0,137.0,120.0,Auto.de
Suzuki,Vitara,2017.0,16.549,,41300.0,Schaltgetriebe,Benzin,8.0,185.0,120.0,Auto.de
Skoda,Fabia,2017.0,12.249,,31700.0,Schaltgetriebe,Benzin,8.0,109.0,75.0,Auto.de
Smart,ForTwo,2017.0,14.049,,49990.0,Automatik,Benzin,5.0,114.0,90.0,Auto.de
Fiat,Tipo,2017.0,12.949,,84895.0,Schaltgetriebe,Diesel,7.0,98.0,120.0,Auto.de
Volkswagen,Caddy,2017.0,20.149,,77000.0,Automatik,Diesel,7.0,186.0,102.0,Auto.de
Mazda,CX-3,2017.0,19.349,,96300.0,Automatik,Benzin,8.0,146.0,150.0,Auto.de
Volvo,XC60,2017.0,23.349,,92800.0,Automatik,Diesel,7.0,119.0,150.0,Auto.de
Alfa,Romeo Giulia,2017.0,28.649,,89999.0,Automatik,Benzin,9.0,194.0,200.0,Auto.de
Mercedes-Benz,Sprinter,2017.0,25.349,,111000.0,Schaltgetriebe,Diesel,3.0,190.0,143.0,Auto.de
Volkswagen,Golf Sportsvan,2017.0,20.149,,64380.0,Automatik,Benzin,8.0,185.0,150.0,Auto.de
Ford,B-Max,2017.0,12.349,,21300.0,Schaltgetriebe,Benzin,1.0,119.0,101.0,Auto.de
Kia,Niro,2017.0,21.249,,35434.0,Automatik,Hybrid (Elektro / Benzin),4.0,101.0,141.0,Auto.de
Ford,Transit Custom,2017.0,23.349,,123000.0,Schaltgetriebe,Diesel,6.0,156.0,131.0,Auto.de
Jaguar,F-Type,2017.0,58.749,,82000.0,Automatik,Benzin,8.0,268.0,551.0,Auto.de
Audi,SQ7,2017.0,49.949,,137366.0,Automatik,Diesel,7.0,186.0,435.0,Auto.de
Audi,SQ7,2017.0,50.849,,137366.0,Automatik,Diesel,7.0,186.0,435.0,Auto.de
