Unnamed: 0.1;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;car_age
0;0;Mercedes-Benz;CLA 220 Shooting Brake;1-10-2017;23.455;;96000.0;Automatik;Diesel;7.0;108.0;177.0;0.00024432291666666667;12.39;2292.15;1998.0;True;Auto.de;7.485.284.052.019.160
1;1;Dacia;Lodgy;1-7-2017;12.948;;69595.0;Schaltgetriebe;Benzin;8.0;185.0;116.0;0.00018604784826496156;14.16;2619.6;3422.5;False;Auto.de;7.737.166.324.435.310
2;2;Volkswagen;T-Roc;1-11-2017;24.948;;96418.0;Automatik;Diesel;1.0;133.0;150.0;0.0002587483664875853;1.77;327.45;2460.5;False;Auto.de;740.041.067.761.807
3;3;Dacia;Duster;1-7-2017;14.948;;38342.0;Schaltgetriebe;Benzin;8.0;185.0;125.0;0.0003898596838975536;14.16;2619.6;3422.5;False;Auto.de;7.737.166.324.435.310
4;4;Renault;Megane;1-11-2017;14.948;;32890.0;Schaltgetriebe;Benzin;8.0;120.0;132.0;0.00045448464578899363;14.16;2619.6;2220.0;True;Auto.de;740.041.067.761.807
5;5;Dacia;Dokker;1-7-2017;13.348;;106490.0;Schaltgetriebe;Benzin;8.0;130.0;116.0;0.0001253451028265565;14.16;2619.6;2405.0;True;Auto.de;7.737.166.324.435.310
6;6;Mazda;2;1-12-2017;16.548;;16572.0;Schaltgetriebe;Benzin;5.0;105.0;90.0;0.000998551774076756;8.85;1637.25;1942.5;True;Auto.de;7.318.275.154.004.100
7;7;Volkswagen;Passat;1-11-2017;26.448;;78090.0;Automatik;Benzin;8.0;148.0;220.0;0.00033868613138686134;14.16;2619.6;2738.0;False;Auto.de;740.041.067.761.807
8;8;Nissan;Micra;1-9-2017;11.548;;44800.0;Schaltgetriebe;Benzin;6.0;107.0;71.0;0.0002577678571428571;10.620.000.000.000.000;19.647.000.000.000.000;1979.5;True;Auto.de;7.567.419.575.633.120
9;9;Renault;Clio;1-8-2017;11.048;;117135.0;Schaltgetriebe;Benzin;4.0;120.0;118.0;9,43E+10;7.08;1309.8;2220.0;True;Auto.de;7.652.292.950.034.220
10;10;Seat;Leon;1-11-2017;21.248;;75073.0;Schaltgetriebe;Benzin;9.0;158.0;301.0;0.00028303118298189764;15.93;2947.05;2923.0;False;Auto.de;740.041.067.761.807
11;11;Seat;Ibiza;1-8-2017;12.549;;57348.0;Schaltgetriebe;Benzin;8.0;185.0;95.0;0.00021882192927390667;14.16;2619.6;3422.5;False;Auto.de;7.652.292.950.034.220
12;12;Renault;Grand Scenic;1-12-2017;15.048;;81000.0;Schaltgetriebe;Benzin;1.0;136.0;132.0;0.0001857777777777778;1.77;327.45;2516.0;False;Auto.de;7.318.275.154.004.100
13;13;Audi;TT;1-5-2017;30.549;;54590.0;Automatik;Benzin;0.0;0.0;180.0;0.0005596079868107712;0.0;0.0;0.0;True;Auto.de;7.904.175.222.450.370
14;14;Volkswagen;Golf;1-10-2017;17.949;;58374.0;Schaltgetriebe;Benzin;8.0;185.0;150.0;0.0003074827834309796;14.16;2619.6;3422.5;False;Auto.de;7.485.284.052.019.160
15;15;Mercedes-Benz;SONSTIGE;1-4-2017;36.049;;148484.0;Automatik;Diesel;7.0;186.0;177.0;0.00024278036690821906;12.39;2292.15;3441.0;False;Auto.de;798.631.074.606.434
16;16;Citroen;C1;1-5-2017;7.948;;118730.0;Schaltgetriebe;Benzin;8.0;185.0;69.0;6,69E+10;14.16;2619.6;3422.5;False;Auto.de;7.904.175.222.450.370
17;17;Volkswagen;T6 SONSTIGE;1-4-2017;18.349;;145400.0;Schaltgetriebe;Diesel;7.0;186.0;102.0;0.00012619669876203578;12.39;2292.15;3441.0;False;Auto.de;798.631.074.606.434
18;18;Opel;Adam;1-5-2017;13.448;;51540.0;Schaltgetriebe;Benzin;8.0;185.0;116.0;0.00026092355452076056;14.16;2619.6;3422.5;False;Auto.de;7.904.175.222.450.370
