Brand;Model;Car_Info;User_Desc;Price;Price_Eval;Kilometer;Gear_Type;YearMonth;Fuel_Type;Horsepower;Consumption;CO2_Emission
Opel;Adam;1.2 Jam IntelliLink LED KLIMA TEMP SHZ;Alufelgen, Apple CarPlay, Multifunktionslenkrad, Sitzheizung, Tempomat, Bluetooth, Geschwindigkeits-begrenzungsanlage, USB;€ 3.999,-;nan;179.000 km;Schaltgetriebe;06/2016;Benzin;51 kW (69 PS);5,3 l/100 km;126 g/km
Volkswagen;Polo;V Style;Finanzierung auch ohne Anzahlung möglich;€ 4.499,-;Sehr guter Preis;148.623 km;Schaltgetriebe;06/2011;Benzin;63 kW (86 PS);5,8 l/100 km;139 g/km
Skoda;Octavia;Combi 1.6 TDI Ambition PDChi|Tempo|Klima;Fahrerairbag, Klimaanlage, Sitzheizung, ABS, Dachreling, Tempomat, Beifahrerairbag, Sommerreifen;€ 5.400,-;Sehr guter Preis;218.843 km;Automatik;11/2014;Diesel;77 kW (105 PS);nan;nan
Hyundai;i30;1.4;USB, Klimaanlage, Isofix, MP3, Elektr. Fensterheber, Nebelscheinwerfer, ESP, ABS;€ 3.999,-;Guter Preis;149.400 km;Schaltgetriebe;11/2011;Benzin;80 kW (109 PS);6,1 l/100 km;142 g/km
Volvo;XC70;D5 5 Zyl Momen AWD LEDER+MEMO+NAV+AHK+XEN+;Allrad, Sommerreifen, Fahrerairbag, Sprachsteuerung, Elektrische Sitze, Multifunktionslenkrad, Sitzheizung, Beifahrerairbag;€ 10.550,-;Sehr guter Preis;261.858 km;Schaltgetriebe;09/2012;Diesel;158 kW (215 PS);5,6 l/100 km;148 g/km
SEAT;Ibiza;SC Reference Salsa;Fahrerairbag, Klimaanlage, Beifahrerairbag, Pannenkit, Wegfahrsperre, Elektr. Fensterheber, ESP, Seitenairbag;€ 4.199,-;Sehr guter Preis;139.100 km;Schaltgetriebe;08/2013;Benzin;63 kW (86 PS);5,9 l/100 km;140 g/km
Volkswagen;Golf;VI 1.6 TDI Team XENON+SHZ+PARKASS+AHK+TEMP+;Einparkhilfe Sensoren hinten, Bi-Xenon Scheinwerfer, Alufelgen, Sportsitze, LED-Tagfahrlicht, 2-Zonen-Klimaautomatik, Fahrerairbag, Armlehne;€ 4.250,-;Guter Preis;259.183 km;Schaltgetriebe;06/2010;Diesel;77 kW (105 PS);4,5 l/100 km;119 g/km
Peugeot;2008;Allure Motor dreht nicht;Bluetooth, Alufelgen, ABS, Ambientebeleuchtung, Zentralverriegelung, Sportsitze, Tagfahrlicht, Getönte Scheiben;€ 2.400,-;nan;290.000 km;Schaltgetriebe;06/2014;Diesel;84 kW (114 PS);4,0 l/100 km;106 g/km
Nissan;Qashqai;2.0 16V AHK Pano Navi Kamera 2Hd.;Panoramadach, Anhängerkupplung, Elektr. Fensterheber, Radio, Bluetooth, Navigationssystem, MP3, Touchscreen;€ 5.950,-;Sehr guter Preis;155.000 km;Schaltgetriebe;02/2010;Benzin;104 kW (141 PS);nan;nan
Ford;Focus;Titanium 1,0 125PS BI-Xenon/Navi/Winterp.;E10-geeignet, Einparkhilfe selbstlenkendes System, 2-Zonen-Klimaautomatik, Spurhalteassistent, Einparkhilfe Sensoren hinten, USB, Dachreling, Sitzheizung;€ 7.710,-;Sehr guter Preis;118.000 km;Schaltgetriebe;03/2015;Benzin;92 kW (125 PS);nan;nan
Opel;Corsa;"D Edition ""111 Jahre"" 1.4 TÜV 06-25";Klimaanlage, Allwetterreifen, Radio, Beifahrerairbag, Isofix, Fahrerairbag, CD, Elektrische Seitenspiegel;€ 3.300,-;Sehr guter Preis;79.987 km;Schaltgetriebe;04/2010;Benzin;64 kW (87 PS);5,5 l/100 km;129 g/km
Fiat;500C;"Lounge HIFI-System""Interscope""*Sitzheiz*Einparkhil";Multifunktionslenkrad, Navigationssystem, Soundsystem, Klimaanlage, Wegfahrsperre, Einparkhilfe Sensoren hinten, Isofix, Fahrerairbag;€ 4.800,-;Sehr guter Preis;128.990 km;Schaltgetriebe;10/2010;Benzin;51 kW (69 PS);5,1 l/100 km;119 g/km
Opel;Astra;J Design Edition 1/2026 Tüv/Zahnriemen Neu;Anhängerkupplung, Beifahrerairbag, Einparkhilfe Sensoren hinten, Lichtsensor, Lederlenkrad, Innenspiegel automatisch abblendend, Sportfahrwerk, Sportsitze;€ 2.500,-;Sehr guter Preis;318.000 km;Schaltgetriebe;01/2012;Diesel;92 kW (125 PS);4,5 l/100 km;119 g/km
Peugeot;Expert;Kasten L2H2 Hoch|Lang|1.091 KG Nutzlast;Klimaanlage, Radio, Schiebetür rechts, Elektr. Fensterheber, Fahrerairbag, Einparkhilfe Sensoren hinten, Sommerreifen, Freisprecheinrichtung;€ 2.990,-;nan;208.000 km;Schaltgetriebe;03/2010;Diesel;88 kW (120 PS);7,6 l/100 km;200 g/km
Mercedes-Benz;C 220;Lim. Avantgarde Ad Blue defekt!;Schiebedach, Alufelgen, Navigationssystem, Ambientebeleuchtung, Bordcomputer, Freisprecheinrichtung, LED-Scheinwerfer, Anhängerkupplung;€ 12.490,-;Sehr guter Preis;205.000 km;Automatik;06/2014;Diesel;125 kW (170 PS);4,0 l/100 km;110 g/km
Mercedes-Benz;B 180;CDI Navi/ PDC/ NSW/ SHZ;Fahrerairbag, Beifahrerairbag, Alufelgen, Sitzheizung, Navigationssystem, Start/Stop-Automatik, Einparkhilfe Sensoren hinten, Wegfahrsperre;€ 8.750,-;nan;103.783 km;Automatik;08/2013;Diesel;80 kW (109 PS);4,6 l/100 km;122 g/km
Mercedes-Benz;B 180;*AUTOMATIK*NAVI*PDC*SZHZ*;Sitzheizung, Einparkhilfe Sensoren hinten, Traktionskontrolle, Radio, Xenonscheinwerfer, Navigationssystem, Alufelgen, Einparkhilfe Sensoren vorne;€ 5.999,-;Sehr guter Preis;175.602 km;Automatik;04/2011;Diesel;80 kW (109 PS);6,2 l/100 km;164 g/km
Mercedes-Benz;E 220;CDI w212 *CO²-126g*AVANTGARDE*LED*COMAND*LEDER*;LED-Scheinwerfer, Navigationssystem, Abstandstempomat, Einparkhilfe Sensoren hinten, Verkehrszeichenerkennung, Elektrische Sitze, Einparkhilfe Sensoren vorne, Alufelgen;€ 10.800,-;Guter Preis;253.600 km;Schaltgetriebe;02/2014;Diesel;125 kW (170 PS);5,1 l/100 km;126 g/km
