;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category
0;Ford;Focus;2019-06-01;7500.0;Sehr guter Preis;182091.0;Automatik;Diesel;4.7;122.0;120.0;0.041188197110236094;7.755;1435.25;2257.91;True
1;Peugeot;308;2012-05-01;2990.0;Sehr guter Preis;181249.0;Schaltgetriebe;Diesel;;;111.0;0.016496642740097878;;;;True
2;Jeep;Compass;2013-08-01;6500.0;Fairer Preis;166000.0;Schaltgetriebe;Diesel;6.6;175.0;163.0;0.0391566265060241;10.889999999999999;2015.46;3238.8;True
3;BMW;116;2010-05-01;4000.0;Sehr guter Preis;190000.0;Schaltgetriebe;Diesel;5.2;139.0;116.0;0.021052631578947368;8.58;1587.94;2572.54;True
4;Skoda;Octavia;2012-06-01;5999.0;Sehr guter Preis;125714.0;Schaltgetriebe;Benzin;6.3;148.0;122.0;0.047719426635060534;11.151;2063.77;2739.1;True
5;Audi;A4;2010-06-01;6700.0;Guter Preis;255000.0;Automatik;Diesel;6.5;170.0;190.0;0.02627450980392157;10.725;1984.92;3146.27;True
6;Nissan;NV200;2014-03-01;7990.0;Sehr guter Preis;154332.0;Schaltgetriebe;Diesel;5.5;146.0;110.0;0.05177150558536143;9.075;1679.55;2702.09;True
7;Volkswagen;Touran;2012-01-01;4990.0;Sehr guter Preis;183000.0;Schaltgetriebe;Benzin;6.8;159.0;140.0;0.02726775956284153;12.036;2227.56;2942.69;True
8;Hyundai;i20;2012-02-01;3890.0;Sehr guter Preis;148988.0;Schaltgetriebe;Benzin;4.9;114.0;86.0;0.026109485327677397;8.673;1605.15;2109.85;True
9;Audi;A3;2010-01-01;7999.0;Sehr guter Preis;152900.0;Schaltgetriebe;Diesel;5.1;135.0;140.0;0.052315238718116414;8.415;1557.4;2498.51;True
10;Volkswagen;Golf Variant;2011-04-01;4900.0;Sehr guter Preis;173382.0;Schaltgetriebe;Benzin;;;160.0;0.02826129586692967;;;;True
11;Ford;Ka/Ka+;2010-10-01;2990.0;Sehr guter Preis;108942.0;Schaltgetriebe;Benzin;5.1;121.0;69.0;0.027445796846028162;9.027;1670.67;2239.4;True
12;Volkswagen;Golf;2011-03-01;6300.0;Guter Preis;104930.0;Schaltgetriebe;Benzin;5.5;129.0;86.0;0.06004002668445631;9.735;1801.7;2387.46;True
13;Ford;C-Max;2013-09-01;5990.0;Guter Preis;110323.0;Schaltgetriebe;Benzin;5.1;121.0;125.0;0.054295115252485884;9.027;1670.67;2239.4;True
14;Skoda;Roomster;2010-03-01;3290.0;Sehr guter Preis;170000.0;Schaltgetriebe;Benzin;6.8;162.0;86.0;0.019352941176470587;12.036;2227.56;2998.21;True
15;SEAT;Ibiza;2010-10-01;3900.0;Sehr guter Preis;156300.0;Schaltgetriebe;Benzin;6.2;149.0;86.0;0.02495201535508637;10.974;2031.01;2757.61;True
